Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB
1931,AL,Lefty Grove,PHA,10,0.369,0.427,0.532,6,103,19
1931,NL,Frankie Frisch,STL,4,0.38,0.459,0.679,39,149,2
1930,AL,Joe Cronin *,WSH,8.5,0.293,0.395,0.464,10,57,7
1930,NL,Hack Wilson *,CHC,7.4,0.325,0.402,0.628,31,136,10
1929,AL,Lew Fonseca *,CLE,5.6,0.373,0.474,0.765,47,173,10
1929,NL,Rogers Hornsby,CHC,10.6,0.38,0.437,0.549,9,131,5
1928,AL,Mickey Cochrane,PHA,3.4,0.358,0.394,0.494,4,115,13
1928,NL,Jim Bottomley,STL,5.6,0.293,0.371,0.433,7,68,1
1927,AL,Lou Gehrig,NYY,11.9,0.294,0.367,0.379,4,64,13
1927,NL,Paul Waner,PIT,7.1,0.403,0.489,0.756,39,143,5
1926,AL,George Burns,CLE,5.2,0.283,0.308,0.389,1,14,0
1926,NL,Bob O'Farrell,STL,3.9,0.151,0.231,0.208,2,11,0
1925,AL,Roger Peckinpaugh,WSH,2.7,0.393,0.545,0.764,41,130,17
1925,NL,Rogers Hornsby,STL,10.2,0.42,0.467,0.594,8,105,51
1924,AL,Walter Johnson,WSH,7.5,0.344,0.452,0.452,2,85,58
1924,NL,Dazzy Vance,BRO,10.3,0.279,0.39,0.338,1,40,12
1923,AL,Babe Ruth,NYY,14.1,0.261,0.293,0.433,2,14,2
1922,AL,George Sisler,SLB,8.7,0.35,0.405,0.423,2,52,25
1914,AL,Eddie Collins,PHA,9.1,0.383,0.464,0.567,10,90,52
1914,NL,Johnny Evers,BSN,4.9,0.33,0.393,0.471,10,91,36
1913,AL,Walter Johnson,WSH,16.6,0.419,0.466,0.62,8,127,83
1913,NL,Jake Daubert,BRO,4,0.3,0.384,0.534,21,107,23
1912,AL,Tris Speaker,BOS,10.2,,,,,,
1912,NL,Larry Doyle,NYG,5,,,,,,
1911,AL,Ty Cobb,DET,10.7,,,,,,
1911,NL,Frank Schulte,CHC,5.2,,,,,,
